Time(s),dataset,Engine RPM (rpm),Ambient Air Temperature (°F),Vehicle Speed (MPH),Absolute Throttle Position (%),Absolute Load Value (%),Calculated Engine Load Value (%),Fuel Level Input (%),Engine Coolant Temperature (°F)
246.5,dataset5,1633,90,41,20,32.1,20.3,33.7,187
249.4,dataset5,1703,90,41,13.3,28.2,20,35.7,187
252.3,dataset5,1646,90,40,12.9,13.8,17.4,35.7,186
255.2,dataset5,1445,90,37,9.8,13.8,13.4,35.5,185
258.1,dataset5,1432,90,37,11.7,14.3,26.8,35.3,185
261,dataset5,1358,90,34,31.2,20.2,52.9,34.7,185
263.9,dataset5,1483,90,36,31.2,79,49.7,33.7,185
266.8,dataset5,2316,90,42,24.5,79.6,40,33.3,187
269.7,dataset5,2326,90,42,24.7,55.8,41.4,32.2,187
272.6,dataset5,1392,90,45,21.6,25.9,48.6,32.7,187
275.5,dataset5,1398,90,48,16.1,29.6,49.4,35.3,187
278.4,dataset5,1806,90,48,17.8,36.1,59.4,35.2,187
281.3,dataset5,2378,90,47,21.5,37.4,57.9,34.1,187
284.2,dataset5,1922,90,46,18.6,40,21.3,34.4,189
287.1,dataset5,1286,90,44,11.8,30.3,21.4,37.2,189
290,dataset5,1577,90,43,13.2,11.8,24.5,36.5,189
292.9,dataset5,1979,90,41,16.8,16.1,24.2,29.9,189
295.8,dataset5,1832,90,41,18.9,25.1,19,29.9,187
298.7,dataset5,1582,90,40,25.4,30.3,18.8,33.7,187
301.6,dataset5,1608,90,40,23.6,43.1,22.9,33.8,187
304.5,dataset5,1654,90,41,16,37.8,27.5,35.7,187
307.4,dataset5,1646,90,41,17.4,21.2,31.6,35.7,187
310.3,dataset5,1609,90,41,24.2,24.5,37.3,35.7,187
313.2,dataset5,1636,90,41,23.2,42.3,29.7,35.7,187
316.1,dataset5,1735,90,41,11.4,39.8,14.6,35,187
319,dataset5,1694,90,40,11.4,12.3,14.9,33.7,187
321.9,dataset5,1250,90,32,10.9,12.2,16.2,34.6,187
324.8,dataset5,1253,90,32,10.2,17.8,16.4,37.2,187
327.7,dataset5,1140,90,27,10.3,17.7,18.6,35.5,187
330.6,dataset5,1143,90,20,10.6,21.4,18.8,24.8,187
333.5,dataset5,1042,90,15,10.8,27.8,28.3,25.3,187
336.4,dataset5,878,90,4,11.4,29.3,28.9,32.6,187
339.3,dataset5,1424,90,7,14.7,32.5,42.7,32.7,189
342.2,dataset5,2405,90,12,25,36.8,42.7,39.2,189
345.1,dataset5,2258,90,14,23.8,51.2,39.6,39.2,188
348,dataset5,1699,90,23,11.4,49.1,34.1,36.3,187
350.9,dataset5,1618,90,22,11.4,17.8,34,29.8,187
353.8,dataset5,741,90,6,11.2,17.7,33.8,29.6,187
356.7,dataset5,741,90,6,11,20.1,33.9,28.7,187
359.6,dataset5,773,90,4,12.1,24.3,35.3,28.8,189
362.5,dataset5,844,90,0,16.4,26.4,35.3,39.2,189
365.4,dataset5,873,90,1,16.2,34.9,34.2,39.2,189
368.3,dataset5,1046,90,5,10.2,34.7,31.8,37.5,190
371.2,dataset5,1048,90,5,10.2,26.7,32.8,32.6,190
374.1,dataset5,927,90,3,10.2,26.7,39.2,32.7,190
377,dataset5,753,90,0,10.2,25.7,39.2,34.1,190
379.9,dataset5,760,90,0,10.2,23.2,35.5,34.1,190
382.8,dataset5,779,90,0,10.2,24.9,30.2,34,190
385.7,dataset5,800,90,0,10.3,34.9,33,33.7,190
388.6,dataset5,907,90,0,13.3,34.7,39.6,31.8,190
391.5,dataset5,899,90,0,13.3,31.4,39.3,27.5,190
5.8,dataset6,1838,90,45,18.1,76.9,34.6,98.4,190
8.7,dataset6,1601,90,46,18.6,63.5,38.5,98.6,189
11.6,dataset6,1433,90,46,20.2,29.5,31.9,98.8,188
14.5,dataset6,1332,90,42,10,13.7,17.4,98.7,187
17.4,dataset6,1279,90,41,9.8,22,16.2,98.4,187
20.3,dataset6,1474,90,38,10.3,15.3,16,98.4,187
23.2,dataset6,1558,90,34,13.4,25.7,17.3,98.4,185
26.1,dataset6,1837,90,28,24.8,40.3,19.2,98.8,183
29,dataset6,2440,90,30,40.5,87.9,48.5,98.8,183
31.9,dataset6,3350,90,35,75.9,112.9,70.9,98.4,183
34.8,dataset6,3160,90,42,69,160,44,98.4,185
37.7,dataset6,2928,90,51,53,154.4,52.2,98.4,185
40.6,dataset6,2678,90,54,49,144.1,95.9,98.4,189
43.5,dataset6,2481,90,58,42.2,150.4,92.3,98.4,189
46.4,dataset6,2724,90,67,49,155.9,71.9,98.4,192
49.3,dataset6,2690,90,69,55.3,150.1,55.6,98.4,193
52.2,dataset6,2425,90,71,57.6,139.2,22.4,98.4,196
55.1,dataset6,2326,90,72,56.6,85.9,49.1,98.4,197
58,dataset6,2111,90,72,46,92,75.6,98.8,198
60.9,dataset6,2246,90,73,44.4,104.1,37.1,98.8,199
63.8,dataset6,2418,90,74,39.7,64.2,35.2,98.4,199
66.7,dataset6,2185,90,75,30.7,13,24.1,98.4,199
69.6,dataset6,2217,90,75,21.8,13.8,19.9,98.4,199
72.5,dataset6,2426,90,74,60.3,19.3,9.7,98.6,197
75.4,dataset6,2365,90,75,60.8,61.5,18.7,98.8,198
78.3,dataset6,2120,90,74,49.3,63.3,35.3,98.7,198
81.2,dataset6,2144,90,75,46.8,73.9,51.4,98.4,198
84.1,dataset6,2197,90,76,33,80,66.6,98.4,199
87,dataset6,2315,90,76,39.5,92.9,14.5,98.4,201
89.9,dataset6,2457,90,76,51.9,60,13.1,98.4,201
92.8,dataset6,2133,90,74,43.6,16.6,7.5,98.4,203
95.7,dataset6,2134,90,73,32.5,64.3,20.4,98.4,203
98.6,dataset6,2159,90,73,32.5,101.8,59.7,98.6,205
101.5,dataset6,2178,90,74,31,71.7,52.2,98.8,205
104.4,dataset6,2246,90,76,18.3,61,39.2,98.6,205
107.3,dataset6,2259,90,76,21.8,21.3,26.9,98.4,204
110.2,dataset6,2288,90,75,36.6,18,12.2,98.4,203
113.1,dataset6,2239,90,75,39.2,12.7,22,98.4,201
116,dataset6,2159,90,74,44.4,38,29.9,98.4,199
118.9,dataset6,2124,90,73,43.2,82,21.7,98.4,199
121.8,dataset6,2080,90,72,40.2,55.9,19.7,98.4,200
124.7,dataset6,2070,90,71,30.8,17.5,7.8,98.4,201
127.6,dataset6,2060,90,71,15.3,54.8,15.7,98.4,201
130.5,dataset6,2170,90,72,16.8,110.9,67.6,98.4,201
133.4,dataset6,2169,90,74,19.2,100.5,65,98.4,201
136.3,dataset6,2179,90,75,21,85.9,43.8,98.5,203
139.2,dataset6,2188,90,75,23.5,69.2,41.8,98.8,203
142.1,dataset6,2197,90,75,18.2,51.2,34.5,98.7,205
145,dataset6,2185,90,75,13,17.9,26.4,98.4,205
147.9,dataset6,2113,90,72,14.1,24.3,7.6,98.6,207
150.8,dataset6,2119,90,73,18.8,72.4,19.5,98.8,206
153.7,dataset6,2145,90,74,50.7,75.9,41.9,98.8,205
156.6,dataset6,2156,90,74,51.3,143.4,53.9,98.8,205
159.5,dataset6,2222,90,75,49.2,140.7,82.8,98.7,206
162.4,dataset6,2215,90,76,48.8,94.8,69.7,98.4,208
165.3,dataset6,2181,90,75,31.5,85.5,40.7,98.4,210
168.2,dataset6,2183,90,76,30.8,34.2,45.4,98.4,210
171.1,dataset6,2189,90,75,25,33.7,52.5,98.4,210
174,dataset6,2185,90,75,23.6,34.1,30.6,98.4,209
176.9,dataset6,2176,90,74,18.8,39,7.1,98.4,207
179.8,dataset6,2212,90,75,22.5,51.1,10.9,98.4,203
182.7,dataset6,2262,90,75,30.5,35.9,10.4,98.4,199
185.6,dataset6,2157,90,73,23.2,12.3,8.9,98.5,194
188.5,dataset6,2049,90,70,11,20.8,14.6,98.8,194
191.4,dataset6,1996,90,68,29.9,32.9,43.1,98.8,194
194.3,dataset6,2008,90,67,50.8,111.5,44.6,98.8,194
197.2,dataset6,2097,90,69,23,103.7,48.2,98.7,196
200.1,dataset6,2080,90,69,21.6,51.7,44.2,98.4,196
203,dataset6,2033,90,69,12.5,54.4,38,98.6,198
205.9,dataset6,2037,90,70,15.6,66,41,98.8,198
208.8,dataset6,2049,90,70,27.3,51.4,44.2,98.4,199
211.7,dataset6,2042,90,70,25.1,16,26.7,98.5,200
214.6,dataset6,2034,90,70,19.6,34.3,28.2,98.8,201
217.5,dataset6,2028,90,70,20.4,63.6,42.3,98.8,203
220.4,dataset6,2021,90,70,21.5,59.3,41.2,98.4,203
223.3,dataset6,2030,90,69,29.3,54.9,35.7,98.4,203
226.2,dataset6,2032,90,70,38.4,72.3,37.7,98.4,203
229.1,dataset6,2058,90,71,51.4,74.9,42.7,98.4,205
232,dataset6,2071,88,71,48.3,94.1,43.7,98.4,205
234.9,dataset6,2112,88,73,25.4,85.2,45.1,98.4,207
237.8,dataset6,2103,88,73,23.3,53.5,36.1,98.4,207
240.7,dataset6,2086,88,72,15.3,67.5,27.6,97.3,208
243.6,dataset6,2102,90,72,20.8,95.3,45.8,97.4,208
246.5,dataset6,2121,89,73,32.1,61.5,44.4,98.4,208
249.4,dataset6,2103,88,72,33.6,12.7,33.7,98.4,206
252.3,dataset6,2084,88,71,36,38.4,32.7,98.4,206
255.2,dataset6,2054,88,71,26.4,75.7,27.1,98.4,203
258.1,dataset6,2054,88,72,11.8,89.9,29.2,98.4,203
261,dataset6,2167,88,72,21,110.9,41.9,98.4,199
263.9,dataset6,2167,88,73,34.1,99,45.3,98.4,200
266.8,dataset6,2175,88,74,41.9,82.4,61.8,98.4,201
269.7,dataset6,2179,88,75,52.1,89.6,58.9,98.4,202
272.6,dataset6,2250,88,77,36.5,98,46.2,98.4,205
275.5,dataset6,2249,88,77,18.8,83.6,45,98.4,205
278.4,dataset6,2235,88,77,22.8,67,40.4,98.3,207
281.3,dataset6,2221,88,77,26.3,14.7,34.4,98,207
284.2,dataset6,2139,88,74,11.8,24,20,98.2,208
287.1,dataset6,2147,88,74,14,95.6,42.5,98.4,208
290,dataset6,2176,88,74,32.8,86,84.6,98.4,208
292.9,dataset6,2196,88,74,32.9,20,65.8,98.4,208
295.8,dataset6,2263,88,74,32.4,30.5,33.7,98.4,207
298.7,dataset6,2304,88,74,34.9,71.1,40.6,98.4,205
301.6,dataset6,2415,88,75,48,82.2,50.2,98.2,203
304.5,dataset6,2354,88,76,48,112.1,57.4,98.1,202
307.4,dataset6,2245,88,77,46.9,103.3,63.3,98.4,201
310.3,dataset6,2270,88,78,40.8,84.7,46.6,98,203
313.2,dataset6,2302,88,79,27.8,88.5,45.3,94.1,203
316.1,dataset6,2289,88,79,22.2,94.9,33.3,94.9,206
319,dataset6,2273,88,78,11.4,90.8,31.3,98.4,207
321.9,dataset6,2246,88,78,11.5,85.1,15.8,98.4,208
324.8,dataset6,2225,88,77,11.8,81.9,23.9,98.4,208
327.7,dataset6,2250,88,77,24.4,75.6,50.1,98.4,208
330.6,dataset6,2248,88,77,37.1,15,44.4,98.4,208
333.5,dataset6,2240,88,76,48.8,25.6,32.2,98.6,208
336.4,dataset6,2279,88,76,44.1,89,22.5,98.8,207
339.3,dataset6,2385,88,76,18,84.5,8.6,98.8,205
342.2,dataset6,2332,88,77,21.1,70.3,26.4,98.8,202
345.1,dataset6,2233,88,77,30.9,74.1,44.8,98.8,199
348,dataset6,2247,88,77,31.8,82.4,48.5,98.8,197
350.9,dataset6,2266,88,78,33.7,78.4,46,98.8,196
353.8,dataset6,2378,88,78,30.1,72.2,25.1,98.8,194
356.7,dataset6,2475,88,78,24.3,67.1,24.4,98.4,195
359.6,dataset6,2231,88,76,18.4,59.8,21.6,98.4,198
362.5,dataset6,2221,88,76,11.4,14.2,28.6,98.4,198
365.4,dataset6,2141,88,74,12,18.3,49.4,98.4,199
368.3,dataset6,2143,88,74,14.5,71.9,51.3,98.4,199
371.2,dataset6,2150,88,74,39.8,74.1,55.2,98.4,199
374.1,dataset6,2162,88,74,36.9,89.4,48.8,98.4,201
377,dataset6,2201,88,74,13.3,82.3,38.4,98.6,203
379.9,dataset6,2183,88,74,16.6,54.6,34.3,98.8,204
382.8,dataset6,2147,88,74,28.2,57.6,29.9,98.4,205
385.7,dataset6,2141,88,74,26.5,64.8,31.4,98.4,206
388.6,dataset6,2131,88,73,21.9,66.1,31.4,98.4,207
391.5,dataset6,2132,88,73,24.4,69.1,34.1,98.4,208
394.4,dataset6,2134,88,73,30.5,89.6,38.8,98.4,208
397.3,dataset6,2134,88,74,30.6,123.5,80.9,97.9,208
400.2,dataset6,2133,88,74,30.6,109.7,76.8,94.9,209
403.1,dataset6,2145,88,74,30.4,92.5,52.5,95.7,212
406,dataset6,2160,88,73,30.2,85.2,41.8,98.4,211
408.9,dataset6,2310,88,73,21.2,77.4,9.5,98.4,208
411.8,dataset6,2283,88,73,13.1,53.9,16.5,98.4,207
414.7,dataset6,2152,88,74,24.2,57.4,32.2,98.4,203
417.6,dataset6,2159,88,74,25.8,78.9,40.7,98.4,200
420.5,dataset6,2181,88,74,34.4,67.9,54.1,98.4,196
423.4,dataset6,2225,88,74,37,21.8,39,98.4,194
426.3,dataset6,2342,88,73,48.1,38.2,18.8,98.6,192
429.2,dataset6,2277,88,74,40.2,84.3,28.9,98.8,193
432.1,dataset6,2155,88,74,13.3,77.3,40.1,98.4,194
435,dataset6,2143,88,74,19.1,60.8,77.8,98.4,195
437.9,dataset6,2128,88,73,31.3,44.1,71.9,98.4,196
440.8,dataset6,2110,88,73,25.3,18.9,24,98.4,199
443.7,dataset6,2088,88,72,15.7,24.2,21.2,98.4,200
446.6,dataset6,2008,88,69,13.5,30.6,10.7,98.4,201
449.5,dataset6,2010,88,69,11,98,28.6,98.4,201
452.4,dataset6,2036,88,69,11.8,91.2,79.1,98.6,201
455.3,dataset6,2070,88,69,12.5,41.8,62,98.8,202
458.2,dataset6,2202,88,68,11.8,38.9,33.7,98.8,203
461.1,dataset6,2174,88,67,15.6,28.8,27.6,98.8,204
464,dataset6,2111,88,66,30.5,56.1,21.8,95.3,205
466.9,dataset6,2502,88,68,37.1,119.6,87.2,95.6,206
469.8,dataset6,3038,88,71,51.7,98.8,82.1,98.4,207
472.7,dataset6,2572,88,71,45.1,66.3,41.9,98.4,210
475.6,dataset6,2106,88,72,34.5,44,41.8,98.4,210
478.5,dataset6,2113,88,73,32,15.3,40.7,98.2,212
481.4,dataset6,2109,88,73,28.6,21.9,35,97.6,211
484.3,dataset6,2054,88,70,20.9,30.2,10.7,96.6,207
487.2,dataset6,2057,88,70,11,22,12.3,93,206
490.1,dataset6,2127,88,67,35.9,12.6,19.6,94.4,201
493,dataset6,2221,88,67,65.9,51.9,25.8,98.4,201
495.9,dataset6,3080,88,69,58.9,86.3,45.8,97.3,199
498.8,dataset6,2923,88,69,51.5,75.7,41.2,94.9,200
501.7,dataset6,2119,88,73,37.9,75.3,30.6,95.8,201
504.6,dataset6,2128,88,73,34.4,73,34.5,97.3,203
507.5,dataset6,2156,88,73,11.8,60.6,40.4,97.8,205
510.4,dataset6,2058,88,71,11.5,14.7,27,98.4,206
513.3,dataset6,1842,88,63,10.6,22.1,11.4,98.8,207
516.2,dataset6,1830,88,63,16.9,41.3,25.7,98.8,207
519.1,dataset6,1813,88,62,33.7,47.3,36.8,98.8,207
522,dataset6,1982,88,62,42,62.5,25.5,98.8,206
524.9,dataset6,2267,88,62,62.9,76.1,25.5,98.7,207
527.8,dataset6,2287,88,63,62.3,143.8,29.7,98.4,207
530.7,dataset6,2335,88,66,58.3,142.1,35.3,98.4,207
533.6,dataset6,2311,88,68,47.5,137.6,51.5,98.4,208
536.5,dataset6,2274,88,70,19.6,90.1,61.3,98.4,208
539.4,dataset6,2093,88,69,16.2,12.6,9.9,98.4,208
542.3,dataset6,1897,88,67,10.6,38.1,14.7,98.4,208
545.2,dataset6,1964,88,67,30.8,67.8,41.1,98.5,207
548.1,dataset6,1968,88,67,56.1,70.3,42,98.8,207
551,dataset6,2019,88,69,35.2,69.4,44.3,98.7,207
553.9,dataset6,2022,88,70,17.4,59.3,52.4,98.4,206
556.8,dataset6,2041,88,70,32.5,61.2,69.4,98.6,205
559.7,dataset6,2053,88,70,30.1,74.9,56,98.8,205
562.6,dataset6,2093,88,71,11.4,61.6,34.9,98.6,207
565.5,dataset6,2063,88,70,14.2,14.7,37,98.4,207
568.4,dataset6,2002,88,66,23.9,38.7,39.5,98.4,208
571.3,dataset6,1986,88,67,20.1,93.7,51.7,98.4,208
574.2,dataset6,1965,88,68,11.4,85.1,49.7,98.4,208
577.1,dataset6,2170,88,67,21.7,72.6,36.1,98.4,208
580,dataset6,2326,88,67,36.5,70.5,42.8,98.4,208
582.9,dataset6,2006,88,69,34.5,68.9,67.4,98.3,208
585.8,dataset6,2016,88,69,33.5,73,63.3,98,208
588.7,dataset6,2073,88,71,47.7,77.5,53.7,98.2,207
591.6,dataset6,2088,88,72,46.3,117.6,56.3,98.4,206
594.5,dataset6,2142,88,73,30.9,119.8,60.8,98.4,205
597.4,dataset6,2168,88,74,34.8,127.4,60.2,98.4,204
600.3,dataset6,2220,88,76,48.1,98,59.5,98.4,203
603.2,dataset6,2202,88,75,37.9,31.5,6.8,98.4,203
606.1,dataset6,2175,88,75,11.4,24.7,6.9,98.4,203
609,dataset6,2091,88,72,11.2,13.4,9.5,98.4,205
611.9,dataset6,1997,88,68,11,15.1,13.7,98.4,205
614.8,dataset6,2169,88,67,15.6,17.3,39.2,97.4,205
617.7,dataset6,2318,88,66,21.6,75.7,49.3,94.1,205
620.6,dataset6,2322,88,68,35.6,133.1,85.4,95.3,207
623.5,dataset6,2289,88,68,51,108.2,78.9,98.4,207
626.4,dataset6,2024,88,69,58.5,114.2,60,96.3,210
629.3,dataset6,2495,88,70,64.1,180.5,73.1,91.8,211
632.2,dataset6,4583,88,76,51.6,175.7,99.9,92.3,212
635.1,dataset6,4181,88,78,53.3,142.6,67.9,93.3,213
638,dataset6,2710,88,84,71.6,122.9,10.2,91.3,214
640.9,dataset6,2642,88,84,63,12.7,8.9,88.2,213
643.8,dataset6,2431,88,83,11.8,12.6,7.1,93,212
646.7,dataset6,2447,88,82,12,13.1,6.9,98.4,209
649.6,dataset6,2485,88,79,12.9,48.2,6.7,98.4,205
652.5,dataset6,2431,88,80,12.9,146.2,40.9,98.3,202
655.4,dataset6,2334,88,81,12.9,132.8,72.2,94.9,199
658.3,dataset6,2321,88,80,20.1,105.1,9.9,95.3,201
661.2,dataset6,2303,88,78,35.3,88.8,18.6,98.4,201
664.1,dataset6,2271,88,77,38.2,67.1,72.8,98.4,203
667,dataset6,2241,88,77,42.3,68,66.9,98.4,204
669.9,dataset6,2266,88,78,28,68.8,43.9,97.5,207
672.8,dataset6,2265,88,78,12.8,59.3,42.7,94.9,207
675.7,dataset6,2255,88,78,28.6,60,39.2,96,208
678.6,dataset6,2260,88,78,29.8,70.3,45.5,98.4,208
681.5,dataset6,2285,88,78,52,69.1,60,98.4,208
684.4,dataset6,2282,88,78,51.1,52.7,53.9,98.4,208
687.3,dataset6,2265,88,78,36,53.1,39.2,97.3,208
690.2,dataset6,2263,88,78,35.3,73,37,94.9,207
693.1,dataset6,2252,88,78,11.4,70.8,31.4,94.9,203
696,dataset6,2247,88,77,12.4,55.8,29.6,94.9,202
698.9,dataset6,2229,88,76,21.9,56.2,26.3,94.6,199
701.8,dataset6,2228,88,76,24.9,58.9,32.2,94.1,199
704.7,dataset6,2226,88,76,39.1,64.2,40.4,96.2,198
707.6,dataset6,2303,88,77,42.9,82,44.8,98.4,198
710.5,dataset6,2464,88,78,56.4,92.6,48,94.9,199
713.4,dataset6,2394,88,78,48.2,114.5,15.3,94.9,203
716.3,dataset6,2307,88,79,30.6,92.6,14.4,94.9,203
719.2,dataset6,2541,88,78,24.4,64.3,9.5,94.9,207
722.1,dataset6,2513,88,78,16.1,64.5,15.9,94.9,207
725,dataset6,2267,88,77,27.4,69.8,34.9,96.1,208
727.9,dataset6,2347,88,77,36.3,115.2,32.1,98.4,209
730.8,dataset6,2644,88,78,31.3,95.7,27.1,96.9,210
733.7,dataset6,2569,88,78,30.5,15.4,18.4,94.9,209
736.6,dataset6,2384,88,76,26.6,27.9,7.5,96.7,208
739.5,dataset6,2333,88,75,27,59.6,21.1,98.3,206
742.4,dataset6,2244,88,75,27.8,46.9,34.8,94.9,203
745.3,dataset6,2201,88,74,22.5,22,41.9,94.9,199
748.2,dataset6,2148,88,74,11.4,33.1,41.9,94.9,199
751.1,dataset6,2230,88,73,28.1,48.6,41.5,94.9,194
754,dataset6,2293,88,72,51.4,79.9,46.6,94.9,194
756.9,dataset6,2208,88,75,42.5,111.2,63.9,96,194
759.8,dataset6,2373,88,76,34.4,144.2,62.8,98.4,196
762.7,dataset6,3247,88,80,52,134.7,60.4,98.4,199
765.6,dataset6,3099,88,80,50.2,70.6,42.5,98.4,202
768.5,dataset6,2255,88,79,11.4,67.1,9.8,96.7,207
771.4,dataset6,2285,88,79,12.5,13.5,13.7,93.3,207
774.3,dataset6,2431,88,75,48.9,28.8,22.4,93.6,208
777.2,dataset6,2357,88,75,47.3,134,18.5,94.1,208
780.1,dataset6,2088,88,73,21.9,110.8,11.8,94.5,208
783,dataset6,2043,88,71,23.9,15,10.6,94.9,208
785.9,dataset6,1948,88,66,31.3,49.8,9,94.5,208
788.8,dataset6,1965,88,67,26.4,149.7,32.7,94.1,208
791.7,dataset6,1996,88,68,11.8,115.6,58.4,98.4,207
794.6,dataset6,1995,88,68,11.6,43.6,37.7,98.2,206
797.5,dataset6,1993,88,68,11,48.4,21.6,94.9,205
800.4,dataset6,2000,88,69,13.8,56.1,27.9,95.6,201
803.3,dataset6,2019,88,70,18,71.3,24.2,98.4,201
806.2,dataset6,2203,88,70,33.3,85.8,10.2,97.4,199
809.1,dataset6,2182,88,70,47.2,73.4,25.1,94.9,200
812,dataset6,2081,88,71,30.5,71.6,57.2,94.9,201
814.9,dataset6,2090,88,72,31.9,60.5,55.1,94.9,202
817.8,dataset6,2118,88,73,40.3,68.2,51.8,96.4,203
820.7,dataset6,2167,88,73,41.7,96.1,43.9,98,205
823.6,dataset6,2266,88,75,46.2,89.3,34.9,98,207
